Dates;Times;Location;Operator;FlightNo;Route;ACType;Registration;Aboard;Fatalities;Ground;Summary;FatalitiesInt;AboardInt;GroundInt;Month;Year;DeathRate;Jan;Feb;Mar;Apr;May;June;July;Aug;Sep;Oct;Nov;Dec;Weather
2012/1/10;10:00;North Spirit Lake, Ontario, Canada;Keystone air Service Limited;?;Winnipeg - North Spirit Lake;0;C-GOSU;31-7752148;5 ? (passengers:4? crew:1);4 ? (passengers:3? crew:1);While on approach, the plane crashed on a frozen lake, 1 km from the runway. The crash occurred during blizzard conditions.;5;31-7752148;4;1;2012;0.8;1;0;0;0;0;0;0;0;0;0;0;0;0
2012/1/30;08:45;Namoya, Congo;TRACEP Congo Aviation;?;Bukavu - Namoya;0;9Q-CUN;?;5 ? (passengers:3? crew:3);3 ? (passengers:1? crew:2);The cargo plane was on approach to land when it crashed in a forest 10km from Namoya.;5;?;3;1;2012;0.6;1;0;0;0;0;0;0;0;0;0;0;0;0
2012/3/15;07:15;Near San Juan, Puerto Rico;Jet One Express;?;San Juan - Saint Croix;0;N153JR;117;2 ? (passengers:0? crew:2);2 ? (passengers:0? crew:2);The cargo plane just took off and was carrying 2,500 lbs of bread when the pilot radioed he was having engine trouble and returning to the airport. The plane crashed in the Torrecilla Lagoon, killing both pilots.;2;117;2;3;2012;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2012/3/16;10:45;Kabul, Afghanistan;Military - Turkish Army (NATO);?;?;0;10981;?;12 ? (passengers:?? crew:?);12 ? (passengers:?? crew:?);The helicopter crashed on the outskirts of Kabul in the Bagrami District. It appeared the plane was trying to make an emergency landing when it crashed into houses killing four people on the ground.;12;?;12;3;2012;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2012/4/2;07:44;Tyumen, Russia;UTAir;120;Tyurmen - Surgut;0;VP-BYZ;332;43 ? (passengers:39? crew:4);33 ? (passengers:29? crew:4);After taking off, the plane lost height during the initial climb and crash landed in a snowy field, 1.5 miles past the end of the runway. The impact split the plane into three pieces.?Icing. The plane was not deiced before taking off.;43;332;33;4;2012;0.7674;0;0;0;1;0;0;0;0;0;0;0;0;0
2012/4/20;18:40;Islamabad, Pakistan;Bhoja Airlines;213;Karachi - Islamabad;1;AP-BKC?;23167/1074;127 ? (passengers:121? crew:6);127 ? (passengers:121? crew:6);While attempting to land, the plane impacted terrain about 5 km short of and slightly left of the extended runway center line of Islamabad's runway 30. The plane completely broke up, burst into flamesand came to rest in Hussain Abad Village. The crew were trained to fly the Boeing 737-200 but not the more advanced 737-236 which features an automated flight deck. The aircraft accident took place as a result of combination of various factors which directly and indirectly contributed towards the causation of accident.The primary causes of accident include, ineffective management of the basic flight parameters such as airspeed, altitude, descent rate attitude, as well as Page 75 of 78 thrust management. The contributory factors include the crew?s decision to continue the flight through significant changing winds associated with the prevailing weather conditions and the lack of experience of the crew to the airplane?s automated flight deck;127;23167/1074;127;4;2012;1;0;0;0;1;0;0;0;0;0;0;0;0;1
2012/4/30;16:30;Sabanagrande, Colombia;Military -Fuerza Aerea Colombiana;?;Barranquilla - Caucasia;0;FAC 4020?;31272;13 ? (passengers:11? crew:2);13 ? (passengers:11? crew:2);The helicopter caught fire and crashed while en route.;13;31272;13;4;2012;1;0;0;0;1;0;0;0;0;0;0;0;0;0
2012/5/9;15:30;Near Cidahu, Indonesia;Sukhoi;36801;Demonstration flight;0;RA-97004;95004;45 ? (passengers:39? crew:6);45 ? (passengers:39? crew:6);The Russian jet crashed on the slopes of Mount Salak at an elevation of 5,200 ft. The airliner was conducting a demonstration flight to prospective customers. The last radio contact with the flight was at 15:30 when the crew requested a descent from 10,000ft to 6,000ft. Soon after requesting a turn, they flew into the mountain. All 37passengers, 6 crew and 2 Sukhoi officials were killed. Pilot error. The TAWS had sent a 'terrain ahead' warning , followed by six 'avoid terrain' warnings before the crash. The pilot in command switched the TAWS off, assuming there was a database problem. In addition, the flight crew were distracted by a customer in the cockpit and failed to complete a planned turn. Due to inadequate maps, briefing, and low clouds, the crew did not know there were mountains in the area.;45;;45;5;2012;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2012/5/14;09:15;Jomsom, Nepal;Agni Air;?;Pokhara - Jomsom;0;9N-AIG;8216;21 ? (passengers:18? crew:3);15 ? (passengers:13? crew:2);" 	The plane was attempting to land and went around on final approach to Runway 06. The aircraft joined a left downwind when a wing contacted a hilltop about 900 feet north of the airport.The flight attendant and 5 passengers survived the accident.";21;8216;15;5;2012;0.7143;0;0;0;0;1;0;0;0;0;0;0;0;0
2012/6/2;15:30;Accra, Ghana;Allied Air;111;Lagos, Nigerai - Accra, Ghana;1;5N-BJN; 22540/1796;4 ? (passengers:0? crew:4);0 ? (passengers:0? crew:4);While on approach to Runway 21 at Kotika International Airport, the cargo plane overran the runway, broke through the perimeter fence, went across a main road and collided with a bus.;4;;0;6;2012;0;0;0;0;0;0;1;0;0;0;0;0;0;0
2012/6/3;16:45;Lagos, Nigeria;Dana Air;992;Abuja - Lagos;0;5N-RAM;53019/1783;153 ? (passengers:146? crew:7);153 ? (passengers:146? crew:7);The plane was about 11 miles from Lagos VOR when the crew declared an emergency reporting engine problems. The plane collided with a power line and crashed into the Iju/Ishaga area of Lagos, 1 mile adjacent to the runway. Double engine failure. Likely  the crew's failure to properly monitor fuel flow and turn on proper fuel pumps.;153;53019/1783;153;6;2012;1;0;0;0;0;0;1;0;0;0;0;0;0;0
2012/6/6;?;Hualla Hualla, Mount Mamarosa, Peru; HeliCusco;?;Mazuco - Cusco;0;OB-1840-P;581672;14 ? (passengers:12? crew:2);14 ? (passengers:12? crew:2);The helicopter was flying back to Cusco after conducting aerial surveillance on a possible site for a hydroelectric project near Puno, in southern Peru when it hit the side of a cliff.;14;581672;14;6;2012;1;0;0;0;0;0;1;0;0;0;0;0;0;0
2012/6/11;?;Near Serov, Russia;Illegal flight;?;?;0;RA-40312;1G221-48;13 ? (passengers:12? crew:1);13 ? (passengers:12? crew:1);The plane disappeared after being taken on an illegal flight. A group of people were having a party at the airfield near the city of Serov, Russia. They  managed to illegally steal an An-2 plane parked at the airfield. The plane went missing and was found on April 4, 2013, 8 km from Serov. Among those killed were the Chief of Serov city police, three police inspectors, the guard of the airport, a private company guard, a pensionist, a young unemployed man and a local mobile shop owner. The pilot was intoxicated at the time of the accident.;13;1G221-48;13;6;2012;1;0;0;0;0;0;1;0;0;0;0;0;0;0
2012/6/21;14:45;Jakarta, Indonesia;Military - Indonesian Air Force;?;Training flight;0;A-2708;10546;7 ? (passengers:0? crew:7);7 ? (passengers:0? crew:7);The plane was attempting to land on runway 18 during a training exercise when it crashed about 1 mile from the runway into houses in the Rajawali housing complex.;7;10546;7;6;2012;1;0;0;0;0;0;1;0;0;0;0;0;0;0
2012/8/18;16:25;Off Masbate Island, Philippines;Aviatour's Fly'n Inc.;?;Cebu-Naga;0;RP-C4431;34-7350051;4 ? (passengers:2? crew:2);3 ? (passengers:2? crew:1);While en route, the crew of the chartered flight radioed they were making an emergency landing at Masbate Airport due to engine problems. The airplane then crashed into the sea and broke apart off the shores of Masbate Island some 980 ft away from the island's airport. An investigation found that improper maintenance led to the right engine suffering an internal failure, which likely would have caused misfiring and intermittent operation of the fuel pump. The failure was gradual and the aircraft developed engine problems 23 minutes after take off. However, instead of turning back to Cebu, the pilot decided to continue the flight, until the engine failed completely, 37 minutes later and the aircraft crashed during the subsequent attempt to land at Masbate. The investigation determined that the pilot didn't use the correct procedure for trying to land a Piper Seneca with one engine inoperative, in that he lowered the undercarriage and flaps too soon and that during his last flight proficiency test he had not been tested with respect to flying with one engine inoperative. 4 34-7350051 3 08 2012 0.75 0 0 0 0 0 0 0 1 0 0 0 0 0;;;;;;;;;;;;;;;;;;;
2012/8/19;08:00;Talodi, Sudan;Alfa Airlines;?;Khartoum - Talodi;0;ST-ARL;2606;32 ? (passengers:26? crew:6);32 ? (passengers:26? crew:6);After an aborted landing, the plane flew into a slope of the Nuba mountains while on approach and attempting to land at Talodi air strip. There was a dust storm in the area at the time. All 26 passengers and crew of 6 were killed including 2 Sudanese ministers.;32;2606;32;8;2012;1;0;0;0;0;0;0;0;1;0;0;0;0;0
2012/9/12;12:28;Near Palana, Russia;Petropavlovsk-Kamchatsky Air Enteprise;261;Petropavlovsk-Kamchatsky - Palana;0;RA-28715;25-1AJ006;14 ? (passengers:12? crew:2);10 ? (passengers:8? crew:2);Crashed in a cedar forest, 6 miles from Palana Airport while on approach. There were heavy storm clouds and poor weather at the time of the accident. Both pilots were found to be intoxicated.;14;25-1AJ006;10;9;2012;0.7143;0;0;0;0;0;0;0;0;1;0;0;0;1
2012/9/28;06:15;Kathmandu, Nepal;Sita Air;?;?;0;9N-AHA;8123;19 ? (passengers:16? crew:3);19 ? (passengers:16? crew:3);The plane crash landed on the bank of the Manohara River minutes after taking off from Trinbhuvan Airport. Some witnesses reported seeing the front of the plane on fire before it crashed. Overloading and the lack of performance in the climb phase due to loss of engine power led to a stall.;19;8123;19;9;2012;1;0;0;0;0;0;0;0;0;1;0;0;0;0
2012/10/7;12:00;Near Omdurman, Sudan;Military - Sudanese Air Force;?;?;0;ST-ASA;402010;22 ? (passengers:16? crew:6);15 ? (passengers:?? crew:?);The transport, carrying military personnel and equipment, crashed 25 miles southwest of Omdurman after experiencing engine trouble. The captain reported that both engines stopped working prior to the crash.;22;402010;15;10;2012;0.6818;0;0;0;0;0;0;0;0;0;1;0;0;0
2012/10/7;16:16;Antigua;Fly Montserrat;107;Antigua - Montserrat;0;VP-MO;82;4 ? (passengers:3? crew:1);3 ? (passengers:2? crew:1);The small airliner took off from Runway 7 at V.C. Bird International Airport, lost height immediately after becoming airborne and crashed to the ground, nose first. There was heavy rains and lightning at the time of the accident.;4;82;3;10;2012;0.75;0;0;0;0;0;0;0;0;0;1;0;0;0
2012/11/6;07:46;Wichita, Kansas;Fedex operating for Baron Aviation;8588;Wichita - Garden City, KS;0;N73FE?;208B-0291;1 ? (passengers:0? crew:1);1 ? (passengers:0? crew:1);The cargo plane climbed to an altitude of about 4,000 feet then attempted to return to the airport. The plane continued to lose altitude until it made a forced landing in a field and crashed into trees.;1;208B-0291;1;11;2012;1;0;0;0;0;0;0;0;0;0;0;1;0;0
2012/11/21;?;San'a, Yemen;Military - Yemen Air Force;?;Training;0;420;?;10 ? (passengers:0? crew:10);10 ? (passengers:0? crew:10);The military transport crashed into the abandoned Al-Hasaba marketplace about 6 miles from Sanaa International Airport, shortly after taking off from runway 18. The crew was trying to make an emergency landing after an engine failed.;10;?;10;11;2012;1;0;0;0;0;0;0;0;0;0;0;1;0;0
2012/11/30;17:50;Near Brazzaville, Congo;Aero Service;?;Pointe Noire - Brazzaville;0;EK-76300;83410300;7 ? (passengers:0? crew:7);7 ? (passengers:0? crew:7);The cargo plane crashed into a dozen houses in the Mselou district in Bazzaville while attempting to land at the local airport. The plane caught on fire and came to rest in a ravine. There was heavy rain and thunderstorms in the area at the time of the accident.;7;83410300;7;11;2012;1;0;0;0;0;0;0;0;0;0;0;1;0;0
2012/12/5;09:45;Near Ladysmith, South Africa;Military - South African Air Force;?;Pretoria - Mthatha Airport;0;6840;13866/25311;11 ? (passengers:5? crew:6);11 ? (passengers:5? crew:6);The military transport went missing while en route. The wreckage was found in the Drakensberg mountains near Ladysmith in KwaZulu-Natal province, some 210 miles southeast of Waterkloof Air Force Base. There was severe weather at the time of the accident.;11;13866/25311;11;12;2012;1;0;0;0;0;0;0;0;0;0;0;0;1;1
2012/12/9;03:30;Near Iturbide, Mexico;Starwood Management LLC;?;Monterey, Mexico - Toluca, Mexico;0;N345MC;25-046;7 ? (passengers:5? crew:2);7 ? (passengers:5? crew:2);The charter jet crashed about 60 miles from Monterey Mexico, about ten minutes after taking off. The plane plunged almost vertically from more than 28,000 feet and hit the ground in a nose-dive at a speed that may have exceeded 600 mph. Mexican-American singerJenni Rivera 43, her publicist and make-up artist were among the dead. She had just finished giving a concert in Monterey and was en route to Toluca to tape a Mexican TV show. A sudden and abrupt lack of control during ascent that provoked a sheer vertical drop of the plane that could have been triggered by a problem with the plane?s horizontal stabilizer. The plane was over 43 years old. The pilot, 78 was authorized to only fly as copilot. The copilot was not authroized to fly out of the United States. The copilot was not authorized to fly IFR which the plane was doing at the time of the accident.;7;25-046;7;12;2012;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2012/12/10;03:20;Near Rochelle, Illinois;Rockford Memorial Hospital;?;Medical flight;0;N911BK;7099;3 ? (passengers:0? crew:3);3 ? (passengers:0? crew:3);The medical helicopter crashed into a field while en route from Rockford hospital to Mendota hospital where they were going to pick up a patient. Light snow was reported in the area at the time of the accident. The pilot and two nurses were killed.;3;7099;3;12;2012;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2012/12/25;18:55;Near Shymkent, Kazakhstan;Military - Kazakhstan Border Guards;?;Astana - Shymkent;0;UN-72859;36576092859;27 ? (passengers:20? crew:7);27 ? (passengers:20? crew:7);The military transport crashed 12 miles from the Shymket Airport while making a descent to land, in heavy winds and snow.The fatalities included a crew of seven and 20 border guards, including the acting head of the ex-Soviet nation's border protection service, Col. Turganbek Stambekov;27;36576092859;27;12;2012;1;0;0;0;0;0;0;0;0;0;0;0;1;0
2012/12/25;08:50;Heho, Myanmar;Air Bagan;W9-011;Mandalay - Heho;0;XY-AGC;11327;71 ? (passengers:65? crew:6);2 ? (passengers:2? crew:0);The passenger plane crash in a field two miles from Heho Airport and caught fire, after attempting to land in foggy weather. A tour guide and an 11-year-old child on board the plane, and a man riding a motorcycle on the ground were killed. Eleven others were injured.;71;11327;2;12;2012;0.0282;0;0;0;0;0;0;0;0;0;0;0;1;1
2012/12/29;16:33;Moscow, Russia;Red Wings Airlines;9268;Pardubice, Czech Republic - Moscow, Russia;0;RA-64047;1.45074E+12;8 ? (passengers:0? crew:8);5 ? (passengers:0? crew:5);While attempting to land on a snow covered runway and heavy cross winds the plane overran the runway, penetrated the perimeter fence and collided with a highway embankment. The aircraft broke in three. The plane's impact with the highway embankment sent the severed nose sliding over the icy road while the rest of the jet rested just past the airport's fence - its tail linked to the rest of the body by only a tangle of wreckage. There were no passengers on board.;8;1.45074E+12;5;12;2012;0.625;0;0;0;0;0;0;0;0;0;0;0;1;0
2013/1/2;20:57;Near Clear Lake, Iowa;Med-Trans Corporaion;?;Mercy Hospital - Palo Alto Couonty Hospital;0;N445MT;53959;3 ? (passengers:2? crew:1);3 ? (passengers:2? crew:1);The air ambulance crashed and burned north of Ventura near Clear Lake Iowa in ice, haze and misty conditons.;3;53959;3;1;2013;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2013/1/4;11:40;Off Los Roques, Venezuela;Transaereo 5074;?;Los Roques - Caracas;0;YV-2615;20;6 ? (passengers:5? crew:1);6 ? (passengers:5? crew:1);The flight disappeared while en route from Los Roques island to Caracas. When the plane was approximately 11 miles from Los Roques Airport, radar showed it began rapidly losing altitude and speed. It is presumed to have crashed in the ocean. The son of Italian designer Ottavio Missoni was among those onboard.;6;20;6;1;2013;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2013/1/29;13:13;Near Kyzyltu, Kazakhstan;SCAT Air;760;Kokshetau - Almaty, Kazakhstan;0;UP-CJ006;7431;21 ? (passengers:16? crew:5);21 ? (passengers:16? crew:5);The jet crashed in heavy fog outside of Almaty while attempting to land at Almaty Airport for a second time. The aircraft was found in swampy terrain about 1 mile short of the runway threshold.;21;7431;21;1;2013;1;1;0;0;0;0;0;0;0;0;0;0;0;0
2013/2/13;18:09;Donetsk, Ukraine;South Airlines;8971;Odessa - Donetsk;0;UR-WRA?;37308709;45 ? (passengers:41? crew:4);5 ? (passengers:5? crew:0);While attempting to land on runway 8 in dense fog, the plane overran the runway , overturned and caught fire. The airplane operated as a charter flight carrying football fans on their way to a match of Shakhtar Donetsk against Borussia Dortmund. Pilot error.  A loss of speed by the aircraft during thelanding approach due to an error of the unprepared crew. The crew had no clearance to land given the weather conditions.;45;37308709;5;2;2013;0.1111;0;1;0;0;0;0;0;0;0;0;0;0;1
2013/3/4;17:55;Goma, Congo;Compagnie Africaine d' Aviation (CAA)?;?;Lodja - Goma;0;9Q-CBD;20270?;10 ? (passengers:4? crew:6);7 ? (passengers:1? crew:6);The aircraft crashed short of the runway while attempting to land in heavy rain at Goma Airport crashing into the back yards of several houses in the Lake Kivu area.;10;20270?;7;3;2013;0.7;0;0;1;0;0;0;0;0;0;0;0;0;0
2013/3/6;08:30;La Libertad, Peru;Aero Transporte S.A. - ATSA;?;Callao - La Libertad;0;OB-1992-P;BB-1682;9 ? (passengers:7? crew:2);9 ? (passengers:7? crew:2);The plane, chartered by a Peruvian gold mining company, crashed while atempting to land at an airport in the La Libertad region of Peru in poor weather. The plane struck power lines, crashed and burned. Two employees of Marsa, 5 contractors and both pilots were killed.;9;BB-1682;9;3;2013;1;0;0;1;0;0;0;0;0;0;0;0;0;1
2013/3/8;08:15;Near Dillingham, Alaska;Ace Air Cargo;51;King Salmon - Dillingham;0;N116AX;UC-17;2 ? (passengers:0? crew:2);2 ? (passengers:0? crew:2);The cargo plane crashed about 20 miles northeast of Dillingham while on approach to Dillingham Airport. Wreckage was discovered on Saturday with the pilot and copilot fatally injured. The aircraft was badly fragmented in three sections. The flight crew's failure to maintain terrain clearance, which resulted in controlled flight into terrain in instrument meteorological conditions. Contributing to the accident were the flight crew's failure to correctly read back and interpret clearance altitudes issued by the air traffic controller, their failure to adhere to minimum altitudes depicted on the published instrument approach chart, and their failure to adhere to company checklists. Also contributing to the accident were the air traffic controller's issuance of an ambiguous clearance to the flight crew, which resulted in the airplane's premature descent, his failure to address the pilot's incorrect read back of the assigned clearance altitudes, and his failure to monitor the flight and address the altitude violations and issue terrain-based safety alerts.;2;UC-17;2;3;2013;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2013/3/12;20:30;Almer, Brazil;Fretzx Taxi Aereo;?;Belem - Santo Antonio do Jari hydroelectic plant;0;PT-VAQ?;82014;10 ? (passengers:9? crew:1);10 ? (passengers:9? crew:1);The plane crashed while enroute. It belonged to air charter company Fretax and was transporting nine employees of the engineering company Cesbe to the Santo Antonio do Jari hydroelectric power plant.;10;82014;10;3;2013;1;0;0;1;0;0;0;0;0;0;0;0;0;0
2013/4/13;15:35;Denpasar, Indonesia;Lion Air;904;Bandung - Denpasar;1;PK-LKS;38728/4350;108 ? (passengers:101? crew:7);0 ? (passengers:0? crew:0);The airliner came down in the ocean, 150 feet short of the runway, while on final approach to Denpasar-Ngurah Rai Bali International Airport. All 101 passengers and crew of 7 survived. Forty-five people were injured.;108;38728/4350;0;4;2013;0;0;0;0;1;0;0;0;0;0;0;0;0;0
2013/4/29;15:25;Bagram Air Base, Afghanistan;National Air Cargo;102;Bagram - Dubai Al Maktoum;1;N949CA;25630/960;7 ? (passengers:0? crew:7);7 ? (passengers:0? crew:7);The civilian cargo plane crashed and burned shortly after taking off from runway 03 at Bagram Air Base. The plane was carrying 5 armored vehicles. The airline's cargo operations manual did not explain how to account for the orientation of the tiedown straps when calculating how many were needed, and the inexperienced and uncertified loadmaster used too few straps. When the plane began climbing, the rearmost vehicle, weighing 28,000;;;;;;;;;;;;;;;;;;;
"pounds, broke free and smashed into the tail, severing two hydraulic  systems and the elevator jackscrew, leaving the plane uncontrollable.""";7;25630/960;7;4;2013;1;0;0;0;1;0;0;0;0;0;0;0;0;0;;;;;;;;;;;
2013/5/31;12:11;Moosonee, Ontario;Ornge Air Ambulance;?;Moosonee- Attawapiskat;0;?;?;4 ? (passengers:2? crew:2);4 ? (passengers:2? crew:2);The air ambulance helicopter crashed 0.7 miles from its departure point. The pilot, copilot and two paramedics were killed. The helicopter was headed to Attawapiskat to pick up a patient.;4;?;4;5;2013;1;0;0;0;0;1;0;0;0;0;0;0;0;0
2013/6/25;?;Gaurikund, near Kedarnath, Uttarakhand State, India.;Indian Air Force;?;From Gauchar airstrip;0;?;?;20 ? (passengers:15? crew:5);20 ? (passengers:15? crew:5);Crashed during flood relief operations. The passengers were from paramilitary forces.;20;?;20;6;2013;1;0;0;0;0;0;1;0;0;0;0;0;0;0
2013/7/6;11:38;San Francisco, California;Asiana Airlines;214;Shanghai - Seoul - San Francisco;1;HL7742?;29171/553;307 ? (passengers:291? crew:16);3 ? (passengers:3? crew:0);"The aircraft crash landed short of the runway while on approach to runway 28L at San Francisco International Airport. The tail section, landing gear, and both engines separated from the fuselage and a fire erupted. Debris was scattered from the ocean front to the runway to where the aircraft came to rest. The plane's voice and flight data recorders show that the aircraft was coming in too slow and too low and that the pilots appear to have increased speed seven seconds before impact. A stall warning sounded four seconds before the crash, and the crew then made an internal decision ""to initiate a go-around 1.5 seconds to impact.Two passengers were killed and 182 injured. One passenger was run over by one of the emergency vehicles. The crew's failure to monitor and maintain the plane's airspeed, and its failure to abort the landing when in trouble. The pilot and co-pilot reasonably believed the automatic throttle would keep the plane flying fast enough to land safely, when in fact the auto throttle was effectively shut off after the pilot idled it to correct an unexplained climb earlier in the landing. The flight crew over-relied on automated systems that they did not fully understand.";307;29171/553;3;7;2013;0.0098;0;0;0;0;0;0;1;0;0;0;0;0;0
